# column 0 is pixels, column 1 is signal
0.000000000000000000e+00,2.311197916666666782e-02
1.000000000000000000e+00,1.692708333333333218e-02
2.000000000000000000e+00,2.213541666666666435e-02
3.000000000000000000e+00,1.171875000000000173e-02
4.000000000000000000e+00,5.533854166666666956e-03
5.000000000000000000e+00,1.953125000000000000e-03
6.000000000000000000e+00,9.765625000000000000e-03
7.000000000000000000e+00,1.790364583333333565e-02
8.000000000000000000e+00,2.864583333333333565e-02
9.000000000000000000e+00,3.027343749999999653e-02
1.000000000000000000e+01,2.799479166666667129e-02
1.100000000000000000e+01,3.841145833333333565e-02
1.200000000000000000e+01,2.278645833333333565e-02
1.300000000000000000e+01,2.343750000000000347e-02
1.400000000000000000e+01,2.506510416666666435e-02
1.500000000000000000e+01,8.789062500000000000e-03
1.600000000000000000e+01,4.231770833333333912e-03
1.700000000000000000e+01,1.627604166666666522e-03
1.800000000000000000e+01,1.953124999999999783e-03
1.900000000000000000e+01,4.882812500000000000e-03
2.000000000000000000e+01,1.171875000000000000e-02
2.100000000000000000e+01,1.236979166666666782e-02
2.200000000000000000e+01,1.367187500000000173e-02
2.300000000000000000e+01,1.139322916666666609e-02
2.400000000000000000e+01,8.463541666666666088e-03
2.500000000000000000e+01,4.882812500000000000e-03
2.600000000000000000e+01,2.929687500000000000e-03
2.700000000000000000e+01,5.859375000000000000e-03
2.800000000000000000e+01,6.184895833333333044e-03
2.900000000000000000e+01,4.231770833333333044e-03
3.000000000000000000e+01,2.278645833333333478e-03
3.100000000000000000e+01,6.184895833333333912e-03
3.200000000000000000e+01,3.580729166666666956e-03
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,9.765625000000000000e-03
3.500000000000000000e+01,1.432291666666666782e-02
3.600000000000000000e+01,1.139322916666666609e-02
3.700000000000000000e+01,8.463541666666667823e-03
3.800000000000000000e+01,8.789062500000000000e-03
3.900000000000000000e+01,3.255208333333333478e-03
4.000000000000000000e+01,7.812500000000000000e-03
4.100000000000000000e+01,1.074218750000000000e-02
4.200000000000000000e+01,1.367187500000000000e-02
4.300000000000000000e+01,2.018229166666666782e-02
4.400000000000000000e+01,2.115885416666666782e-02
4.500000000000000000e+01,1.757812500000000347e-02
4.600000000000000000e+01,1.171875000000000173e-02
4.700000000000000000e+01,6.184895833333333044e-03
4.800000000000000000e+01,5.533854166666666956e-03
4.900000000000000000e+01,3.580729166666666956e-03
5.000000000000000000e+01,9.765625000000000000e-03
5.100000000000000000e+01,5.859375000000000000e-03
5.200000000000000000e+01,6.510416666666666305e-04
5.300000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,6.510416666666666305e-04
5.500000000000000000e+01,1.953125000000000000e-03
5.600000000000000000e+01,3.255208333333333153e-04
5.700000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,6.510416666666666305e-04
6.100000000000000000e+01,5.208333333333333044e-03
6.200000000000000000e+01,6.835937500000000000e-03
6.300000000000000000e+01,9.440104166666666088e-03
6.400000000000000000e+01,1.432291666666666609e-02
6.500000000000000000e+01,7.486979166666666088e-03
6.600000000000000000e+01,1.236979166666666609e-02
6.700000000000000000e+01,8.463541666666667823e-03
6.800000000000000000e+01,3.906250000000000000e-03
6.900000000000000000e+01,3.255208333333333478e-03
7.000000000000000000e+01,5.208333333333333044e-03
7.100000000000000000e+01,8.789062500000000000e-03
7.200000000000000000e+01,1.009114583333333218e-02
7.300000000000000000e+01,7.486979166666666956e-03
7.400000000000000000e+01,7.161458333333333912e-03
7.500000000000000000e+01,6.510416666666666956e-03
7.600000000000000000e+01,6.184895833333333044e-03
7.700000000000000000e+01,6.184895833333333912e-03
7.800000000000000000e+01,4.882812499999999133e-03
7.900000000000000000e+01,2.278645833333333044e-03
8.000000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,0.000000000000000000e+00
8.200000000000000000e+01,3.255208333333333153e-04
8.300000000000000000e+01,3.255208333333333478e-03
8.400000000000000000e+01,8.789062500000001735e-03
8.500000000000000000e+01,1.367187500000000000e-02
8.600000000000000000e+01,1.399739583333333044e-02
8.700000000000000000e+01,1.529947916666666609e-02
8.800000000000000000e+01,9.114583333333332177e-03
8.900000000000000000e+01,4.231770833333333912e-03
9.000000000000000000e+01,1.627604166666666739e-03
9.100000000000000000e+01,1.953125000000000000e-03
9.200000000000000000e+01,1.953125000000000000e-03
9.300000000000000000e+01,1.302083333333333261e-03
9.400000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,0.000000000000000000e+00
9.700000000000000000e+01,0.000000000000000000e+00
9.800000000000000000e+01,3.255208333333333153e-04
9.900000000000000000e+01,3.255208333333333478e-03
1.000000000000000000e+02,4.231770833333333912e-03
1.010000000000000000e+02,9.765625000000000000e-04
1.020000000000000000e+02,0.000000000000000000e+00
1.030000000000000000e+02,0.000000000000000000e+00
1.040000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+02,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00
1.070000000000000000e+02,0.000000000000000000e+00
1.080000000000000000e+02,3.255208333333333153e-04
1.090000000000000000e+02,2.278645833333333478e-03
1.100000000000000000e+02,1.627604166666666522e-03
1.110000000000000000e+02,0.000000000000000000e+00
1.120000000000000000e+02,3.255208333333333153e-04
1.130000000000000000e+02,3.255208333333333153e-04
1.140000000000000000e+02,3.255208333333333153e-04
1.150000000000000000e+02,0.000000000000000000e+00
1.160000000000000000e+02,6.510416666666666305e-04
1.170000000000000000e+02,6.510416666666666305e-04
1.180000000000000000e+02,1.953125000000000000e-03
1.190000000000000000e+02,2.278645833333333044e-03
1.200000000000000000e+02,3.255208333333333153e-04
1.210000000000000000e+02,3.255208333333333153e-04
1.220000000000000000e+02,0.000000000000000000e+00
1.230000000000000000e+02,0.000000000000000000e+00
1.240000000000000000e+02,0.000000000000000000e+00
1.250000000000000000e+02,0.000000000000000000e+00
1.260000000000000000e+02,0.000000000000000000e+00
1.270000000000000000e+02,0.000000000000000000e+00
1.280000000000000000e+02,0.000000000000000000e+00
1.290000000000000000e+02,0.000000000000000000e+00
1.300000000000000000e+02,0.000000000000000000e+00
1.310000000000000000e+02,0.000000000000000000e+00
1.320000000000000000e+02,0.000000000000000000e+00
1.330000000000000000e+02,0.000000000000000000e+00
1.340000000000000000e+02,1.953125000000000000e-03
1.350000000000000000e+02,3.255208333333333478e-03
1.360000000000000000e+02,3.906250000000000000e-03
1.370000000000000000e+02,6.510416666666666305e-04
1.380000000000000000e+02,0.000000000000000000e+00
1.390000000000000000e+02,0.000000000000000000e+00
